class	pred
1	 Im working on building a solar powered Arduino based weather station. The weather station consists of a temperature sensor and a photoresistor and I plan to add an anemometer in the future. I would like to connect the weather station to my wireless network so that I can retrieve the sensor data from my computer without having to run wires I live in a rental. What are the different options for connecting the Arduino to WiFi? Ive looked at ethernet shields WiFi shields and something called Xbee but I dont understand what each of them are for. I also have a wireless home router that I could use. Is it possible to connect my Arduino Uno to the router via the routers ethernet or USB port and then receive data from and send commands to the Arduino wirelessly over my home network? If so how would this be accomplished? I currently have a bare Arduino Uno. 
1	 I am new to the world of Arduinos but have a new project going with a MultiWii Flight controller. With the MultiWii comes a software for showing all data that is measured from the sensors acceleration velocity roll pitch etc which is nice but I would like to have/extract this data call raw data or something from all sensors i.e. the data plotting everything in numbers. Maybe it is the simplest thing to do and I guess I have to set up some serial connection between the controller and tell it to send this data somehow but I do not know where to start so any guidance and help is appreciated. 
1	 I am working with some code for remote temperature sensor nodes. They turn the debug interface on and off depending on if anything is conneced to the serial port or not. The code is on Github here . Line 111 is the line of interest: if Serial debug = 1; else debug=0; //if serial UART to USB is connected show debug O/P. So a simple question: On a hardware and software level how does this work? I can\t see anything in HardwareSerial or Stream that would return true/false if anything was connected or not. Note that I am not confident that it actually works. This simple test indicates it doesn\t work as the LED flashes regardless of the presence of
1	 If I upload any sketch that sends serial data I immediately see the TX/RX LEDs flash once the sketch is uploaded. If I then start the serial monitor the sketch appears to restart. A bare minimum sketch that shows this behaviour: void setup{ Serial.begin9600; Serial.printlnSetup;}void loop{ Serial.printlnLoop; delay1000;} Tested with several boards and Mac and Windows versions of the IDE. Example output - it goes back to Setup when I open the serial monitor: Why is this? 
1	 I\m just a tinkerer learning Arduino with my son and I was surprised that when I plugged the USB cord back in to the Arduino the program was still running and I thought to myself it\s a good thing I didn\t just blow anything up. So what\s the normal way people call it a day with these things? Do you usually load up the bare-bones do nothing sketch or just unplug everything? 
1	 I have an espresso machine that gets its water from one of those 5 gallon blue water bottles I would plumb it but our water here is WAAAAY too hard. If I ever accidentally let the bottle run out of water the rotary pump in the espresso machine will be ruined which would be a costly mistake. I know that I can install some sort of magnetic float sensor inside the water bottle but since I have to change it out once every few weeks having another thing inside the bottle would make changing it out harder and microbial contamination more likely. The pump that pumps water out of the bottle forms a tight seal at the lid and anything running under it or through it would compromise that seal. Is there something I could use to detect if the water level is low from the outside of the bottle? Like a laser sensor? 
1	 I am making an interface project that when plugged into a computer shows up as both usb flash storage and can type like a keyboard when some physical buttons on the board are pressed. I have seen projects that do one or the other but not both at the same time. I have gotten it to work using a usb hub and two chips that are sharing the same storage since I want the hot-key buttons to type out information stored in the flash drive side as well with one acting like a HID and one acting as usb storage but this has a few problems. First it feels redundant. Second its difficult to program since every time I plug the mess in it randomly assigns a name to each chip with no easy way of telling which to send the HID code to and with to send the USB Drive code to. I have to plug them in one at a time which wont work once this project is all on the same board. The last problem is the buttons work inconsistently since im assuming the two chips are not doing a nice job of
1	 I have an object with a series of led and I want to turn on and off these leds from my Arduino. The input of the LED circuit is 24v DC 100mA. What Ive done is the following: Ive cut a wire of this object and I connected one end to the collector and the other end to the emitter of a NPN transistor I connected the base of the transistor to a digital output through a 1k resistance I connected the power to the led series while the digital pin was LOW actually completely disconnected But with no current on the base of the transistor the LED has turned on to my surprise. I may have completely misused the transistor and other items. How do I fix this circuit? 
1	 I am working on a UAV and we are currently exploring inertial measurement units or IMUs. The two options that we have come across are: Using an Arduino Uno and a 9 DOF IMU like this one Using an ArduIMU chip like this one Ignoring the cost aspect and assuming the same microprocessor on board what would be the pros and cons of either of these approaches? Keep in mind that performance is very important for a UAV controller as ESCs require 60 Hz or higher refresh rates for stable flight. 
1	 Anyone with kids knows they never help with the toilet paper. Anyone know how to track when its low or out and sound an audible alarm? I just dont know what sensor to use that may help. Some that came to mind are: by weight by reflection the color of the paper or some laser tripwire - all right on the spool. I dont mind building it its just I dont know which sensor. Anyone know which to use? 
1	 Ignore the stalker-like title. I am thinking about creating a project with Arduino that can sense you sleep habits when youre asleep and how much you sleep. It would be convenient to not have to turn it on/off at night; it should know how to do this. Some ideas that I have: Motion sensor Breathing patterns if an Arduino microphone could even pick that out... I would be surprised if it could A RTC clock could assist in deciding Its midnight. Usual Steve isnt asleep at this time on Fridays. Hes probably not sleeping now. It wont always be there to help you but you might be able to try to get more accurate results this way How can I accomplish this? Extra points for some sort of algorithm that can tell dozing off from a deep sleep. 
1	 I have an Arduino motor shield like this one plugged into my Mega board. I would like to know some more information about the orange and white pin blocks on the board. The Arduino website has the following information but it doesn\t give any explanation of what is best to use them for or which pins are mapped to the data pins etc. TinkerKit connectors for two Analog Inputs in white connected to A2 and A3. TinkerKit connectors for two Aanlog Outputs in orange in the middle connected to PWM outputs on pins D5 and D6. TinkerKit connectors for the TWI interface in white with 4 pins one for input and the other one for output. What I want to do is connect a servo up to the board and was hoping I could use one of the orange OUT blocks. I haven\t been successful in f
1	 Ive seen many temperature sensors but the highest temperature they go up to is 125 degrees C 257 degrees F. I want to reach higher temperatures than that. Im thinking about rigging up a closed loop sensor for my soldering iron for a convenient LCD display but I cant find out how to sense the temperature of the tip due to the higher operating temperature than most sensors. 
1	 I want an I/O pin to return current in a circuit similarly to the function of ground. Which of these will achieve what I require? pinModepinnumber OUTPUTdigitalWritepinnumber LOW or pinModepinnumber input 
1	 How can I run a webserver in a Arduino Uno? I want to use my Arduino to monitor things in my home such as temperature. I want to be able to access this data through the internet. 
1	 The Arduino Uno Page doesn\t say the temperatures that it can operate in. I\m thinking about placing it outdoors. How can I make sure my Arduino Uno is safe in weather that can reach -20 to 105 degrees Fahrenheit? -26 to 40 degrees Celsius. 
1	 Presumably one powers an Arduino board with car batteries for long-term operation away from the power grid. How can this be done and what are the most 1 economic and 2 reliable ways to do this? Specifically do any additional risks to short the board with an extraneous discharge exist? 
1	 Currently I am developing a graphic LCD system to display temperatures flows voltages power and energy in a heat pump system. The use of a graphic LCD means that half of my SRAM and ~75% of my flash have been used up by a screen buffer and strings. I am currently displaying min/max/average figures for energy At midnight when the daily figure resets the system checks if the consumption for the day is above or below the previous minimum or maximum and stores the value. The average is calculated by dividing the cumulative energy consumption by the number of days. I would like to display the daily average over the last week and month 4 weeks for simplicity i.e. a rolling average. Currently this involves maintaining an array of values for the last 28 days and calculating an average over the whole array for monthly and last 7 days for weekly. Initially I was doing this using an array of floats as the energy is in the form 12.12kWh but this was using 28 * 4 by
1	 Clearly an Arduino can be powered with solar panels. What is the most optimal configuration? Can you recharge and discharge at the same time? Is LiPO the best battery cache technology or is there something more durable out there for fielded deployment? What are the most economic and reliable ways to do this? 
1	 The Space Replay A hovering object that explores and manipulates transitional public spaces with particular acoustic properties. By constantly recording and replaying these ambient sounds the levitating sphere produces a delayed echo of human activity. In this project the Arduino board and an Adafruit Wave Shield is used. The Wave shield is not designed to record audio however they say that they use the board for both recording and playback. The sphere responds sonically to people and its surroundings by means of a battery-powered Arduino an Adafruit Wave Shield hacked to record and playback audio on-the-fly and a small speaker. This generates a few questi
1	 I am using an Arduino Uno to send time and voltage information over the serial port to Python to plot. However the interval timings between successive time stamps appears to be increasing over time affecting my plotting. This is especially true when the baud rate is set to 9600 where my initial time differences maybe 1320 and increases to 16400 after a relatively short period of time. When this rate is put to maximum of 115200 bps the change is slower and less noticeable from around 1340 to 1500 even after a relatively long run of sending. All times are given in microseconds. I would like to know if I can reduce or eliminate this effect and if not understand why it exists. I have read things about interrupts and delays causing this but I do not fully appreciate the complexity of the electronics at hand and would like to know: Can I get greater precision in the timing? What causes this change in timing? Here is what I currently have: <pr
1	 I need to communicate between two Arduinos using XBee. I am new to XBee and hardware. The two Arduino Unos need to send a message number to each other and light an LED or play a sound when they come close within a 10 meter distance. So my doubt is which XBee shield and XBee module I need to purchase. I read about XBee series 2 XB24 etc. 
1	 I have done various applications with the Ultrasonic example project but it is always using one pinger. I\d like to make a scanner resting on a servo sweep but to reduce sweep time use more than one censor. the documentation is rather basic ping sonic that states the signal 40khz is used. Down to the question now. Is there a means to tell one pinger to use 40Khz and another say 45Khz. This would allow me to scan two areas different directions per cycle reducing the time frame to complete area scan by half. 
1	 I have a few Arduino Pro Mini clones cheap Chinese stuff and would like to power them with 12V power supply same as fan voltage. According to the Arduino Pro Mini spec the RAW pin can take 3.35-12V 3.3V model. In practice this means a 12V PSU cannot be used as they are almost always over 12V with low load. I read that the voltage regulator in this board is capable up to 16V input. I tried plugging in a cheap 12V power adapter that read 15.1V with no load but a component on the arduino clone board actually exploded instantly. The board seems to work still when powered from usb programmer. Component that burned out is just above VCC RST and GND pins. Why did this happen? What did I just damage and most importantly what is a safe voltage level to use? I already have a few 12V switching power supplies it would be a shame if I could not use them. Solution: In the end it seems
1	 I would like to constantly save data coming from sensors for an activity tracker while consuming as less battery as possible Id like to have a 4/5 days autonomy on a 3000 mAh battery but I cant find the best way to save about 2 kBytes/s on a memory large enough to contain several days of data. Sensors would be read at a rate of 20 times per second and produce about 100 bytes each time. What options do I have in order to: store such an amount of data hardware? ensure the system can work properly with required autonomy? 
1	 On my Arduino Uno R3 and Arduino Mega R3 there are 5V and 3.3V pins. However on this page http://arduino.cc/en/reference/board there is a 5V and 9V pin but no 3.3V pin. The page at http://playground.arduino.cc/Learning/WhatAdapter also mentions a 9V pin. Why is there a discrepency? 
1	 I bought a Gertboard a while ago and one of the features it has on-board is an ATMega328 DIP. However since the Gertboard is designed for use with the Raspberry Pi it only operates at 3.3v so the clock speed is limited to ~12MHz. Programming it via the Raspberry Pi is quite cumbersome though. Instead Id like to transfer the chip to an Arduino Uno board so I can upload sketches from my desktop PC. I would then transfer it back to the Gertboard for normal operation. The problem is that my Uno operates at the more typical 5v / 16MHz. Is it safe to attempt this? Do I need to make any configuration changes in the IDE to tell it to account for a different clock speed? 
1	 Why is the Arduino able to accept ~5V from the USB but requires a min of 7V when using an external power supply? 
1	 I am working on a heating control system for my home but having problems with the temperature sensor reading higher than I expect. I have a 5V Arduino Mini Pro clone hooked up to a relay module an HD47780 display and a Tiny RTC module with a DS18B20 attached to it. The DS18B20 is powered from the 5v Vcc applied to the Tiny RTC module rather than using parasitic power on the DQ line as I wasn\t sure if the Onewire libraries supported this mode of operation and the DS18B20 datasheet says that Vcc may be between 3.0v and 5.5v. I measured the regulated power from the Mini Pro\s being at 5.2v. I am comparing the temperature from the DS with the existing room thermostat bi-metallic an RS desktop temperature monitor with two sensors a small \thermo-hygrometer\ and a <a href=http://ecx.images-amazon.com
1	 I\m trying to make an RF remote control using ATtiny85 running at 8MHz on internal oscillator this cheap RF 434MHz transmitter module like the one below and VirtualWire lib but had no success so far . So before I go any further is it possible to use VirtualWire with ATtiny85 running at 3.6V and 8MHz with its internal oscillator? If so how? I\ve found a few scattered sources of information on the Net about it but couldn\t make much sense of it. I have build ATMega328 versions of the receiver and transmitter using VirtualWire without any major problems. Both modules talk to each other will very little data drop out. Now when I tried to replace the ATMega328 transmitter with a smaller vers
1	 Im completely new with Arduino and microcontrollers in general. I have several 5V sensors and need 3.3V because thats the max for the Due. Is it possible to use a resistor to connect it to the Arduino? Do I have to measure the current from the sensor and calculate the needed resistor like this? $$\\frac{5.0 - 3.3}{\\text{Measured current}}$$5.0 - 3.3/Measured current 
1	 There are a lot of methods to power an arduino from a large range of voltages usb cable from pc or from a phone charger or an usb hub step down convertors step up converters switching power supply batteries connected to the power jack or usb or to Vin What I cant seem to find is a small 220v-5v converter. Id like to put an arduino in the wall under a light switch so size matters. The last resort option is to open a 5v phone charger and replace the metal prongs that go in a socket with two wires and replace the usb socket with anoter pair of wires that go the arduino board but still an Arduino Pro Mini or an Arduino Nano is smaller than the phone charger. Thank you for your time 
1	 I am a new user of Arduino I have a Arduino Due and also I am a new user of BLE112 Bluegiga module 112 My teacher told me to make the BLE112 advertisable and furthermore he told me to look for information about UART@115K. The Ble112 he gave me came with wires already soldered to the selected pins: Im assuming I only need to use those. PIN NUMBER [PIN NAME] for BLE112 2 AVDD Supply voltage 2-3.6V 3 AVDD Supply voltage 2-3.6V 4 [P2_2] DC- Debug clock DIGITAL I/O 5 [P2_1] DD- Debug data DIGITAL I/O 9 VDD_USB Supply voltage 2-3.6V 20 DVDD Supply voltage 2-3.6V 23 [P0_5] RXDRx DIGITAL I/O 24 [P0_4] TXDTX DIGITAL I/O 25 [P0_3] RTS DIGITAL I/O 26 [P0_2] CTS DIGITAL I/O 29 RESET 30 GND <
1	 I would like to be able to use a USB port at the same time as an RS-232 port with my Arduino Uno board. I unwittingly bought a shield that I think? overrides the USB port when it is mounted to the Arduino board: http://www.dfrobot.com/wiki/index.php/RS232_Shield Would anyone be able to give me any advice on how to connect the hardware so that I can have two serial ports accessible from my Arduino Uno? The format I was thinking was Arduino => RS-232 Sheild: GND => GND5V => 5VDigital Pin 2 => 232RXDDigital Pin 3 => 232TXD The accompanying code for initializing the serial port which I\ve written: const int rxpin = 2; // pin used to receiveconst int txpin = 3; // pin used to sendSoftwareSerial Serial_rs232rxpin txpin; // new serial port Any ideas as to why this may or may not be a good method of using the hardware I have available for the purpose I
1	 Using an Arduino Nano and a current transformer CT I\m trying to sense the current flowing through a 120&nbsp;V 60&nbsp;Hz line. Circuit CT outputs 0-1&amp;nbsp;V according to its specifications. This output is biased AREF/2 = 2.5&nbsp;V. analogRead Values The x-axis represents the index number of the ADC sample while the y-axis represent the ADC value 0-1024. Sampling rate is about 9&nbsp;kHz. Peak-to-peak difference is about 1026 samples. Is this waveform what you would expect from the CT? Why are there regions where the
1	 I have a relatively cheap 0-15psi pressure transducer. It has 3 pins - ground 5V and signal. The signal outputs a voltage of 0.5V to 4.5V based on pressure from 0psi to 15psi. I can verify it does respond to significant pressure increases so it works at least to a point. The issue is that the reading from arduino can differ by over 50% when at ambient atmospheric pressure resting on a table. It should be significantly more accurate if the sensor data are to be trusted. The code is basic: void setup{ Serial.begin9600;}void measurePressure{ int rawReading = analogReadA0; // Range : 0..1024 //float rawVoltage = rawReading * 4.5 / 1023.0 + 0.5; Serial.printRaw reading: ; Serial.printlnrawReading;}void loop { measurePressure; delay1000;} The output variations are not entirely random it seems that the reading goes down and up in intervals of roughly 5-15 seconds. Below is a sample output: Raw reading: 61R
1	 I\m doing my first electronics project where a signal that varies between -1 to 1 V is going into an analog pin on the Arduino. The amplified signal has to be read as fast as possible by Arduino. The source signal is at 60 Hz. Will this LM324 be a suitable 4-channel opamp for my needs? How concerned should I be about the 2 mV input offset and 20 nA input current bias? To make full use of the 10bit ADC would you recommend using an opamp with gain of 2 and biasing the signal by +2.5V? If so will it be better to create the bias using a potential divider across +5V and GND or using a 2.5V voltage regulator? Or would it be better to set AREF to 2V and bias the signal by +1V? In this case will it be better to use a 2V voltage regulator or a voltage divider across Arduino\s 3V3 and GND using 20M and 33M resistors? 
1	 I am sending three signals from one arduino mega to another using xbees. On the receiving end I am using these signals in a Simulink code to control servo motors. Currently it is set up to read from analog pins without the wireless set up. With the wireless technology the signals are all being sent and received through one serial port. I believe I would need to change the inputs in Simulink to a serial receive block instead of an analog pin block. The problem is the documentation for the serial receive block says you can not assign more than one serial receive block to the same serial port. If anyone has a solution to this it would be greatly appreciated! receiving code int received1; int received2; int received3; void setup { Serial.begin9600; } void loop { ifSerial.available { received1 received2 received3 = Serial.read; } } transmitting code: void setup { Serial.begin9600;}void loop {
1	 On Mac OSX Mavericks why does Arduino Uno uses serial port named /dev/cu.usbmodemfa131 while Arduino Nano uses /dev/cu.usbserial-A702NY8S ? Are they using different FTDI drivers? 
1	 Im using the Serial1 of the Arduino Leonardo to send and receive data with another MCU. The following code will always retrieve garbled data: byte streamReadResponse;Serial1.begin115200;Serial1.setTimeout9000;Serial1.printcmd;Serial1.print\\r;Serial1.flush; //wait for all the data to be sent to the serialstreamReadResponse = Serial1.readBytesUntil&gt; data dataLength; But if I add a delay50 before the Serial1 read I would get the expected output. The value 50 was found by trial and error. What am I missing? Why is the flush command not working as expected? 
1	 I\m trying to simply access my HC_05 bluetooth module and conduct some AT commands through the Serial Monitor. For some reason though it only seems to be returning Null characters though it does some to be actually responding to the command in some way given by the length of Null characters it returns. So you can clearly see that the command AT and AT+NAMEdevice return different data but they are both all NUL blocks. I am viewing the monitor in text. Changing the view to Hex or ASCII does not change results. Code for this simple program is below: #include &lt;SoftwareSerial.h&gt;SoftwareSerial BTSerial10 11; // RX | TXvoid setup{ pinMode9 OUTPUT; // this pin will pull the HC-05 pin 34 key pin HIGH to switch module to AT mode digitalWrite9 HIGH; Serial.begin9600; Serial.printlnEnter AT comma
1	 What is the maximum power consumption in mW of the Arduino Nano 3.0 when it is running in its default state at 16MHz no LEDs removed and powered by an external regulated 5V supply so it bypasses the built in voltage regulator. This will give us an upper bound on the power consumption of the Arduino Nano that can be used during estimates. 
1	 Whilst it is possible and sometimes desirable to use pin change interrupts to read the state of buttons it is simpler to poll the state of buttons in loop . This is a commonly used technique. If you loop executes quickly enough then button presses are always going to be caught and the user will not be able to perceive any delay or lag. It is possible that your loop would take so long as to cause a delay or lag to be perceived. The question is how long would it be in general before a user would see this? 
1	 Is it possible to connect an Arduino to an Android Phone and use it for input/output?Are connections possible over USB? Or do I need to have a wifi or Bluetooth shield? 
